ID,Dt_Customer,Age_Group,Age,Education,Marital_Status,Income_Group,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Children,campaignAccept
5524,2012-09-04,Adult,57,Graduate,Single,High,58138.0,58,3,8,10,4,7,0,0,0,0,0,0,1,635,88,546,172,88,88,0,Accepted once or more
2174,2014-03-08,Adult,60,Graduate,Single,Low,46344.0,38,2,1,1,2,5,0,0,0,0,0,0,0,11,1,6,2,1,6,2,Never Accepted
4141,2013-08-21,Adult,49,Graduate,Together,Highest,71613.0,26,1,8,2,10,4,0,0,0,0,0,0,0,426,49,127,111,21,42,0,Never Accepted
6182,2014-02-10,Adult,30,Graduate,Together,Lowest,26646.0,26,2,2,0,4,6,0,0,0,0,0,0,0,11,4,20,10,3,5,1,Never Accepted
5324,2014-01-19,Adult,33,Postgraduate,Together,High,58293.0,94,5,5,3,6,5,0,0,0,0,0,0,0,173,43,118,46,27,15,1,Never Accepted
7446,2013-09-09,Adult,47,Postgraduate,Together,High,62513.0,16,2,6,4,10,6,0,0,0,0,0,0,0,520,42,98,0,42,14,1,Never Accepted
965,2012-11-13,Adult,43,Graduate,Single,High,55635.0,34,4,7,3,7,6,0,0,0,0,0,0,0,235,65,164,50,49,27,1,Never Accepted
6177,2013-05-08,Adult,29,Postgraduate,Together,Lowest,33454.0,32,2,4,0,4,8,0,0,0,0,0,0,0,76,10,56,3,1,23,1,Never Accepted
4855,2013-06-06,Adult,40,Postgraduate,Together,Lowest,30351.0,19,1,3,0,2,9,0,0,0,0,0,0,1,14,0,24,3,3,2,1,Accepted once or more
1994,2013-11-15,Adult,31,Graduate,Together,Low,50737.0,11,1,1,0,2,7,0,0,0,0,0,0,0,5,5,6,0,2,1,1,Never Accepted
2125,2013-11-15,Adult,55,Graduate,Single,High,63033.0,82,1,3,4,8,2,0,0,0,0,0,0,0,194,61,480,225,112,30,0,Never Accepted
8180,2013-11-15,Adult,62,Postgraduate,Single,High,59354.0,53,3,6,1,5,6,0,0,0,0,0,0,0,233,2,53,3,5,14,2,Never Accepted
2569,2012-10-10,Adult,27,Graduate,Together,Lowest,17323.0,38,1,1,0,3,8,0,0,0,0,0,0,0,3,14,17,6,1,5,0,Never Accepted
2114,2012-11-24,Elder,68,Postgraduate,Single,Highest,82800.0,23,1,7,6,12,3,1,0,0,0,1,0,1,1006,22,115,59,68,45,0,Accepted once or more
9736,2012-12-24,Adult,34,Graduate,Together,Low,41850.0,51,3,3,0,3,8,0,0,0,0,0,0,0,53,5,19,2,13,4,2,Never Accepted
4939,2012-08-31,Elder,68,Graduate,Together,Low,37760.0,20,2,4,1,6,7,0,0,0,0,0,0,0,84,5,38,150,12,28,0,Never Accepted
6565,2013-03-28,Elder,65,Postgraduate,Together,Highest,76995.0,91,2,11,4,9,5,1,0,0,0,0,0,0,1012,80,498,0,16,176,1,Accepted once or more
2278,2012-11-03,Adult,29,Postgraduate,Single,Lowest,33812.0,86,2,2,1,3,6,0,0,0,0,0,0,0,4,17,19,30,24,39,1,Never Accepted
9360,2012-08-08,Adult,32,Graduate,Together,Low,37040.0,41,1,4,2,5,8,0,0,0,0,0,0,0,86,2,73,69,38,48,0,Never Accepted
1993,2012-12-23,Elder,65,Postgraduate,Together,High,58607.0,63,3,2,3,9,8,0,0,0,1,0,0,0,867,0,86,0,0,19,1,Accepted once or more
4047,2014-01-11,Adult,60,Postgraduate,Together,High,65324.0,0,3,6,2,9,4,0,0,0,0,0,0,0,384,0,102,21,32,5,1,Never Accepted
1409,2013-03-18,Adult,63,Graduate,Together,Low,40689.0,69,7,7,1,5,8,0,0,0,0,0,0,0,270,3,27,39,6,99,1,Never Accepted
7892,2013-01-02,Adult,45,Graduate,Single,Lowest,18589.0,89,2,2,1,3,7,0,0,0,0,0,0,0,6,4,25,15,12,13,0,Never Accepted
2404,2013-05-27,Adult,38,Graduate,Together,High,53359.0,4,4,5,1,4,7,0,0,0,0,0,0,0,173,4,30,3,6,41,2,Never Accepted
5255,2013-02-20,Adult,28,Graduate,Single,Low,49973.5,19,0,27,0,0,1,0,0,0,0,0,0,0,5,1,3,3,263,362,1,Never Accepted
9422,2013-05-31,Adult,25,Graduate,Together,Low,38360.0,26,2,2,1,4,3,0,0,0,0,0,0,0,36,2,42,20,21,10,1,Never Accepted
1966,2013-11-22,Adult,49,Postgraduate,Together,Highest,84618.0,96,1,6,9,10,2,0,0,0,0,1,0,0,684,100,801,21,66,0,0,Accepted once or more
6864,2014-05-22,Adult,25,Postgraduate,Single,Lowest,10979.0,34,2,3,0,3,5,0,0,0,0,0,0,0,8,4,10,2,2,4,0,Never Accepted
3033,2013-05-11,Adult,51,Postgraduate,Together,Low,38620.0,56,1,2,5,3,3,0,0,0,0,0,0,0,112,17,44,34,22,89,0,Never Accepted
5710,2012-10-10,Adult,44,Graduate,Together,Low,40548.0,31,2,2,1,4,5,0,0,0,1,0,0,0,110,0,5,2,0,3,1,Accepted once or more
7373,2012-10-29,Adult,62,Postgraduate,Single,Low,46610.0,8,6,4,1,6,6,0,0,0,0,0,0,1,96,12,96,33,22,43,2,Accepted once or more
8755,2013-02-20,Elder,68,Postgraduate,Together,Highest,68657.0,4,1,3,5,9,7,0,0,0,0,0,0,0,482,34,471,119,68,22,0,Never Accepted
10738,2013-08-29,Adult,63,Postgraduate,Single,Low,49389.0,55,1,2,0,3,7,0,0,0,0,0,0,0,40,0,19,2,1,3,2,Never Accepted
4339,2013-12-31,Adult,44,Postgraduate,Together,High,67353.0,37,5,5,6,12,2,0,0,0,0,0,0,0,702,17,151,0,8,35,1,Never Accepted
10755,2013-09-02,Adult,38,Postgraduate,Together,Lowest,23718.0,76,3,3,1,2,7,0,0,0,0,0,0,0,6,3,14,15,7,36,1,Never Accepted
8595,2014-02-11,Adult,41,Graduate,Single,Low,42429.0,99,2,1,1,3,5,0,0,0,0,0,0,0,55,0,6,2,0,4,1,Never Accepted
8601,2013-04-29,Adult,34,Graduate,Together,Highest,80011.0,3,2,8,6,5,4,0,0,0,0,0,0,0,421,76,536,82,178,102,1,Never Accepted
503,2013-03-12,Adult,29,Postgraduate,Together,Lowest,20559.0,88,2,2,0,3,8,0,0,0,0,0,0,0,13,1,29,3,0,7,1,Never Accepted
8430,2012-12-24,Adult,57,Graduate,Together,Lowest,21994.0,4,1,0,0,3,5,0,0,0,0,0,0,0,9,0,6,3,1,3,1,Never Accepted
7281,2013-11-05,Adult,55,Postgraduate,Single,Low,50198.0,80,1,1,3,4,2,0,0,0,0,0,0,0,81,11,50,3,2,39,0,Never Accepted
1371,2014-06-28,Adult,38,Graduate,Single,Highest,79941.0,72,1,2,4,9,1,0,0,0,0,0,0,0,123,164,266,227,30,174,0,Never Accepted
7286,2013-05-24,Adult,46,Graduate,Together,Low,41728.0,92,1,2,0,2,10,0,0,0,0,0,0,0,13,6,15,3,5,13,1,Never Accepted
7244,2014-01-01,Adult,63,Graduate,Single,Low,49973.5,96,3,2,1,4,6,0,0,0,0,0,0,0,48,5,48,6,10,7,3,Never Accepted
6566,2012-11-08,Adult,60,Postgraduate,Together,Highest,72550.0,39,9,5,2,12,8,0,0,0,0,0,0,0,826,50,317,50,38,38,2,Never Accepted
8614,2014-05-12,Adult,57,Graduate,Single,High,65486.0,29,1,4,2,10,2,0,0,0,0,0,0,0,245,19,125,37,67,14,1,Never Accepted
4114,2012-08-11,Adult,50,Postgraduate,Together,Highest,79143.0,2,1,6,9,13,3,0,0,0,0,0,0,0,650,37,780,27,167,32,0,Never Accepted
